Area,n_measurements,waterbody_type,query,latitude,longitude
"Gweebarra-Sheephaven, CRONANIV BURN_010",256,River,CRONANIV BURN,,
"Erne, DROMORE_030",256,River,DROMORE,52.91962,-8.97256
"Gweebarra-Sheephaven, OWENTOCKER_020",255,River,OWENTOCKER,54.76278,-8.42278
"Moy _ Killala Bay, MOY_090",255,River,MOY,54.18524,-9.1396
"Upper Shannon (C), SHANNON (Upper)_100",254,River,SHANNON,52.58194,-9.68167
"Upper Shannon (B), LUNG_050",254,River,LUNG,53.88903,-8.5505
"Cork Harbour, Moy Killala, MOY_090",252,River,MOY,54.18524,-9.1396
"Boyne, BOYNE_150",252,River,BOYNE,53.72236,-6.24629
"Slaney _ Wexford Harbour, SLANEY_070",251,River,SLANEY,52.65662,-6.65117
"Boyne, BOYNE_100",250,River,BOYNE,53.72236,-6.24629
"Boyne, BOYNE_120",249,River,BOYNE,53.72236,-6.24629
"Ovoca-Vartry, DARGLE_030",249,River,DARGLE,53.27361,-6.26778
"Corrib, BLACK (SHRULE)_010",249,River,BLACK,54.08222,-7.14611
"Shannon Estuary South, LOOBAGH_020",248,River,LOOBAGH,52.39944,-8.67278
"Erne, FINN (MONAGHAN)_040",248,River,FINN,54.86111,-8.13861
"Nore, DININ (MAIN CHANNEL)_020",246,River,DININ,52.59611,-6.91889
"Lower Shannon (D), Derg TN",246,Lake,Derg TN,,
"Lower Shannon (C), Derg TN",246,Lake,Derg TN,,
"Boyne, ATHBOY_040",245,River,ATHBOY,53.59191,-6.88222
"Erne, ERNE_070",245,River,ERNE,54.50534,-8.24507
"Cork Harbour, Moy Killala, GLENCREE_010",245,River,GLENCREE,53.16944,-6.20111
"Lee, Cork Harbour and Youghal Bay, WOMANAGH_020",245,River,WOMANAGH,51.92444,-7.97056
"Suir, SUIR_200",244,River,SUIR,52.27333,-6.99556
"Moy _ Killala Bay, MOY_120",244,River,MOY,54.18524,-9.1396
"Moy _ Killala Bay, CASTLEBAR_020",241,River,CASTLEBAR,53.83893,-9.3466
"Lower Shannon (A), LITTLE (CLOGHAN)_020",241,River,LITTLE,53.98472,-9.24122
"Moy _ Killala Bay, CLYDAGH (CASTLEBAR)_010",241,River,CLYDAGH,53.94833,-9.17894
"Boyne, KINNEGAD_020",240,River,KINNEGAD,53.45222,-7.09972
"Ovoca-Vartry, GLENCREE_010",240,River,GLENCREE,53.16944,-6.20111
"Nanny-Delvin, NANNY (MEATH)_050",239,River,NANNY,53.66667,-6.23333
"Slaney _ Wexford Harbour, SLANEY_060",239,River,SLANEY,52.65662,-6.65117
"Suir, ANNER_030",238,River,ANNER,52.42472,-7.6375
"Cork Harbour, Moy Killala, MOY_120",238,River,MOY,54.18524,-9.1396
"Newry, Fane, Glyde and Dee, DEE_050",238,River,DEE,53.8825,-6.34972
"Liffey and Dublin Bay, RYE WATER_030",237,River,RYE WATER,53.365,-6.49111
"Suir, SUIR_020",237,River,SUIR,52.27333,-6.99556
"Moy _ Killala Bay, DEEL (CROSSMOLINA)_050",237,River,DEEL,52.61806,-8.98694
"Cork Harbour, Moy Killala, CLYDAGH (CASTLEBAR)_010",236,River,CLYDAGH,53.94833,-9.17894
"Cork Harbour, Moy Killala, CASTLEBAR_020",236,River,CASTLEBAR,53.83893,-9.3466
"Lower Shannon (C), BALLYFINBOY_070",235,River,BALLYFINBOY,53.0325,-8.25111
"Nore, NUENNA_010",235,River,NUENNA,52.73056,-7.365
"Suir, MULTEEN_050",234,River,MULTEEN,52.51667,-8.01667
"Laune-Maine-Dingle Bay, Leane",234,Lake,Leane,52.03333,-9.55
"Ovoca-Vartry, AVONBEG_040",234,River,AVONBEG,52.88333,-6.23333
"Slaney _ Wexford Harbour, DERRY_040",234,River,DERRY,53.76861,-8.9387
"Cork Harbour, Moy Killala, DEEL (CROSSMOLINA)_050",232,River,DEEL,52.61806,-8.98694
"Suir, ARA_040",232,River,ARA,52.40556,-7.9475
"Erne, ANNALEE_100",232,River,ANNALEE,54.04,-7.4075
"Lower Shannon (B), LITTLE BROSNA_040",232,River,LITTLE BROSNA,53.16556,-8.075
"Moy _ Killala Bay, GLORE (MAYO)_020",232,River,GLORE,53.88208,-9.00208
"Boyne, BLACKWATER (KELLS)_070",232,River,BLACKWATER,51.85,-9.75
"Lower Shannon (C), NENAGH_040",232,River,NENAGH,52.92639,-8.27278
"Foyle, MOURNE BEG_010",231,River,MOURNE BEG,,
"Owenavorragh, BANOGE_030",231,River,BANOGE,52.64417,-6.28417
"Tralee Bay-Feale, GALEY_010",231,River,GALEY,52.43982,-9.60695
"Suir, DUAG_010",230,River,DUAG,52.28028,-7.9825
"Liffey and Dublin Bay, TOLKA_060",230,River,TOLKA,53.35781,-6.23287
"Erne, SWANLINBAR_020",229,River,SWANLINBAR,54.24073,-7.60112
"Cork Harbour, Moy Killala, GLORE (MAYO)_020",228,River,GLORE,53.68333,-7.25
"Erne, CULLIES_030",228,River,CULLIES,53.96222,-7.60361
"Lower Shannon (A), BROSNA_030",227,River,BROSNA,53.16556,-8.075
"Colligan-Mahon, MAHON_040",226,River,MAHON,52.13806,-7.36278
"Laune-Maine-Dingle Bay, LONG RANGE_010",226,River,LONG RANGE,52.0,-9.55
"Lower Shannon (C), NENAGH_060",226,River,NENAGH,52.92639,-8.27278
"Boyne, BOYNE_110",226,River,BOYNE,53.72236,-6.24629
"Erne, ERNE_090",225,River,ERNE,54.50534,-8.24507
"Upper Shannon (A), Drumshanbo stream_010",225,River,Drumshanbo stream,,
"Upper Shannon (F), MOUNTNUGENT_040",225,River,MOUNTNUGENT,53.81783,-7.2557
"Lower Shannon (A), BROSNA_140",222,River,BROSNA,53.16556,-8.075
"Lough Swilly, SWILLY_010",222,River,SWILLY,55.16667,-7.53333
"Upper Shannon (F), YELLOW (CASTLEPOLLARD)_030",221,River,YELLOW,53.38556,-7.08361
"Lower Shannon (A), BROSNA_010",221,River,BROSNA,53.16556,-8.075
"Foyle, STRANAGOPPOGE_010",220,River,STRANAGOPPOGE,55.17472,-7.23722
"Upper Shannon (E), HIND_010",220,River,HIND,,
"Tralee Bay-Feale, FEALE_080",220,River,FEALE,52.444,-9.62211
"Boyne, BLACKWATER (LONGWOOD)_030",218,River,BLACKWATER,51.85,-9.75
"Laune-Maine-Dingle Bay, CARAGH_030",218,River,CARAGH,52.05083,-9.86333
"Boyne, BOYNE_060",216,River,BOYNE,53.72236,-6.24629
"Lower Shannon (D), MULKEAR (LIMERICK)_010",216,River,MULKEAR,52.67833,-8.54389
"Lee, Cork Harbour and Youghal Bay, Inniscarra",216,Lake,Inniscarra,,
"Upper Shannon (C), SHANNON (Upper)_060",216,River,SHANNON,52.58194,-9.68167
"Lower Shannon (A), Owel Main",215,Lake,Owel Main,,
"Sligo Bay _ Drowse, BALLYSODARE_010",214,River,BALLYSODARE,,
"Laune-Maine-Dingle Bay, OWENREAGH_020",213,River,OWENREAGH,51.98333,-9.61667
"Lower Shannon (D), MULKEAR (LIMERICK)_030",213,River,MULKEAR,52.67833,-8.54389
"Shannon Estuary South, MORNINGSTAR_060",213,River,MORNINGSTAR,52.45028,-8.6825
"Upper Shannon (C), RINN_010",213,River,RINN,53.88333,-7.85
"Liffey and Dublin Bay, LIFFEY_040",212,River,LIFFEY,53.34556,-6.21694
"Shannon Estuary North, BROADFORD_030",212,River,BROADFORD,52.81111,-8.66389
"Slaney _ Wexford Harbour, SLANEY_100",211,River,SLANEY,52.65662,-6.65117
"Upper Shannon (F), INNY_090",211,River,INNY,51.85722,-10.18167
"Galway Bay South East, OWENDALULLEEGH_050",210,River,OWENDALULLEEGH,53.025,-8.77833
"Cork Harbour, Moy Killala, Inniscarra",210,Lake,Inniscarra,,
"Tralee Bay-Feale, OWVEG (KERRY)_010",210,River,OWVEG,52.35,-9.35
"Upper Shannon (B), CARRICKNABRAHER_020",210,River,CARRICKNABRAHER,,
"Lower Shannon (D), DEAD_020",209,River,DEAD,52.58167,-8.3475
"Lower Shannon (A), BROSNA_100",209,River,BROSNA,53.16556,-8.075
"Suir, SUIR_080",208,River,SUIR,52.27333,-6.99556
"Boyne, KINNEGAD_030",208,River,KINNEGAD,53.45222,-7.09972
"Boyne, BOYNE_140",208,River,BOYNE,53.72236,-6.24629
"Moy _ Killala Bay, MULLAGHANOE_010",206,River,MULLAGHANOE,53.98845,-8.90936
"Dunmanus-Bantry-Kenmare, BLACKWATER (KERRY)_020",206,River,BLACKWATER,51.85,-9.75
"Moy _ Killala Bay, BEHY (NORTH MAYO)_010",205,River,BEHY,52.06556,-9.95667
"Nore, NORE_030",205,River,NORE,52.42417,-6.95806
"Corrib, ROBE_050",203,River,ROBE,53.63333,-9.28333
"Moy _ Killala Bay, MOY_080",203,River,MOY,54.18524,-9.1396
"Erriff-Clew Bay, BUNDORRAGHA_020",203,River,BUNDORRAGHA,53.6,-9.75
"Erriff-Clew Bay, BUNOWEN (LOUISBURGH)_020",203,River,BUNOWEN,53.76667,-9.81667
"Newry, Fane, Glyde and Dee, FANE_050",203,River,FANE,53.95222,-6.46583
"Corrib, Corrib Upper",202,Lake,Corrib Upper,,
"Nanny-Delvin, NANNY (MEATH)_040",202,River,NANNY,53.66667,-6.23333
"Sligo Bay _ Drowse, GOWLAN (SLIGO)_010",202,River,GOWLAN,54.19139,-8.93417
"Moy _ Killala Bay, TUBBERCURRY_020",201,River,TUBBERCURRY,54.05,-8.73333
"Cork Harbour, Moy Killala, BEHY (NORTH MAYO)_010",201,River,BEHY,52.06556,-9.95667
"Laune-Maine-Dingle Bay, Caragh",201,Lake,Caragh,52.05083,-9.86333
"Newry, Fane, Glyde and Dee, Muckno",201,Lake,Muckno,54.11056,-6.69167
"Galway Bay North, SCREEB_010",201,River,SCREEB,53.38694,-9.5525
"Corrib, ABBERT_040",201,River,ABBERT,53.41667,-8.88333
"foyal, SCREEB_010",201,River,SCREEB,53.38694,-9.5525
"Corrib, CLARE (GALWAY)_060",200,River,CLARE,52.91962,-8.97256
"Nore, NORE_130",200,River,NORE,52.42417,-6.95806
"Slaney _ Wexford Harbour, BANN_060",199,River,BANN,52.545,-6.54306
"Cork Harbour, Moy Killala, MOY_080",199,River,MOY,54.18524,-9.1396
"Corrib, Corrib Lower",199,Lake,Corrib Lower,,
"Boyne, CASTLEJORDAN_010",199,River,CASTLEJORDAN,53.39194,-7.11361
"Moy _ Killala Bay, MOY_020",199,River,MOY,54.18524,-9.1396
"Sligo Bay _ Drowse, DUNNEILL_020",199,River,DUNNEILL,54.265,-8.85972
"Shannon Estuary North, GOURNA_010",198,River,GOURNA,,
"Lower Shannon (C), GRANEY (SHANNON)_010",198,River,GRANEY,52.9825,-8.66056
"Erriff-Clew Bay, GLENAMONG_010",197,River,GLENAMONG,,
"Upper Shannon (A), ARIGNA (ROSCOMMON)_020",197,River,ARIGNA,52.72417,-7.33278
"Lower Shannon (C), KILCROW_070",197,River,KILCROW,53.08611,-8.30583
"Boyne, BLACKWATER (KELLS)_110",197,River,BLACKWATER,51.85,-9.75
"Slaney _ Wexford Harbour, DERREEN_060",197,River,DERREEN,53.82816,-9.17346
"Newry, Fane, Glyde and Dee, PROULES_020",197,River,PROULES,,
"Suir, Knockaderry",196,Lake,Knockaderry,52.20528,-7.27694
"Lower Shannon (C), BOW_010",196,River,BOW,52.91056,-8.47778
"Suir, Ballyshunnock",196,Lake,Ballyshunnock,,
"Donagh-Moville, BALLYHALLAN_010",196,River,BALLYHALLAN,55.26222,-7.41472
"Boyne, BLACKWATER (KELLS)_100",196,River,BLACKWATER,51.85,-9.75
"Nore, NORE_110",196,River,NORE,52.42417,-6.95806
"Newry, Fane, Glyde and Dee, BIG (LOUTH)_010",195,River,BIG,53.98595,-9.23715
"Boyne, RIVERSTOWN_020",195,River,RIVERSTOWN,54.13167,-8.39444
"Moy _ Killala Bay, MANULLA_040",195,River,MANULLA,53.83333,-9.18333
"Nore, NORE_200",194,River,NORE,52.42417,-6.95806
"Upper Shannon (F), INNY_020",194,River,INNY,51.85722,-10.18167
"Lee, Cork Harbour and Youghal Bay, LEE (CORK)_020",194,River,LEE,54.53583,-8.05944
"Laune-Maine-Dingle Bay, Guitane",194,Lake,Guitane,52.0,-9.41667
"Shannon Estuary North, FERGUS_070",193,River,FERGUS,52.95528,-9.18167
"Moy _ Killala Bay, SPADDAGH_010",193,River,SPADDAGH,53.94487,-9.03287
"Slaney _ Wexford Harbour, SLANEY_050",193,River,SLANEY,52.65662,-6.65117
"Cork Harbour, Moy Killala, SPADDAGH_010",193,River,SPADDAGH,53.94487,-9.03287
"Mal Bay, CAHER (CLARE)_020",193,River,CAHER,52.31667,-9.23333
"Lower Shannon (A), SILVER (KILCORMAC)_050",193,River,SILVER,53.24333,-7.79139
"Mal Bay, CREEGH_020",192,River,CREEGH,52.74603,-9.50422
"Cork Harbour, Moy Killala, MANULLA_040",192,River,MANULLA,53.83333,-9.18333
"Lower Shannon (A), CLODIAGH (TULLAMORE)_050",192,River,CLODIAGH,52.29,-7.28583
"Lower Shannon (D), CAHERNAHALLIA_020",191,River,CAHERNAHALLIA,52.57306,-8.27139
"Newry, Fane, Glyde and Dee, WHITE (LOUTH)_030",191,River,WHITE,54.1125,-6.97194
"Lower Shannon (B), LITTLE BROSNA_010",191,River,LITTLE BROSNA,53.16556,-8.075
"Upper Shannon (F), INNY_100",190,River,INNY,51.85722,-10.18167
"Cork Harbour, Moy Killala, LEE (CORK)_020",190,River,LEE,54.53583,-8.05944
"Erne, DROMORE_070",190,River,DROMORE,52.91962,-8.97256
"foyal, OWENBOLISKA_010",189,River,OWENBOLISKA,53.29556,-9.31611
"Dunmanus-Bantry-Kenmare, ADRIGOLE_010",189,River,ADRIGOLE,51.71222,-9.71528
"Galway Bay North, OWENBOLISKA_010",189,River,OWENBOLISKA,53.29556,-9.31611
"Upper Shannon (C), CAMLIN_070",188,River,CAMLIN,53.75,-7.91667
"Ovoca-Vartry, AVONMORE_060",188,River,AVONMORE,52.88333,-6.23333
"Erne, WATERFOOT_010",188,River,WATERFOOT,,
"Boyne, BLACKWATER (LONGWOOD)_020",187,River,BLACKWATER,51.85,-9.75
"Shannon Estuary South, OWVANE (LIMERICK)_030",187,River,OWVANE,51.73139,-9.44083
"Slaney _ Wexford Harbour, CLODY_020",187,River,CLODY,,
"Erne, Erne",186,River,Erne,54.50534,-8.24507
"Ovoca-Vartry, Varty  Lower",185,Lake,Varty Lower,,
"Tralee Bay-Feale, FEALE_050",185,River,FEALE,52.444,-9.62211
"Shannon Estuary North, FERGUS_020",185,River,FERGUS,52.95528,-9.18167
"Boyne, ATHBOY_050",185,River,ATHBOY,53.59191,-6.88222
"Laune-Maine-Dingle Bay, WOODFORD (FLESK)_010",184,River,WOODFORD,53.02028,-8.31639
"Boyne, BOYNE_030",184,River,BOYNE,53.72236,-6.24629
"Nore, NORE_080",183,River,NORE,52.42417,-6.95806
"Newry, Fane, Glyde and Dee, GLYDE_020",183,River,GLYDE,53.88306,-6.35
"Erne, CAVAN_010",183,River,CAVAN,54.00222,-6.92222
"Lower Shannon (B), LITTLE BROSNA_030",182,River,LITTLE BROSNA,53.16556,-8.075
"Lee, Cork Harbour and Youghal Bay, SULLANE_050",182,River,SULLANE,51.88333,-8.93333
"Laune-Maine-Dingle Bay, Upper KY",181,Lake,Upper KY,,
"Lee, Cork Harbour and Youghal Bay, MARTIN_040",181,River,MARTIN,51.92944,-8.57167
"Owenavorragh, BLACKWATER (WEXFORD)_010",181,River,BLACKWATER,51.85,-9.75
"Nore, GLORY_030",181,River,GLORY,52.53861,-7.28861
"Boyne, BOYNE_020",180,River,BOYNE,53.72236,-6.24629
"Laune-Maine-Dingle Bay, Ross Bay",179,Lake,Ross Bay,52.58714,-9.87866
"Cork Harbour, Moy Killala, SULLANE_050",178,River,SULLANE,51.88333,-8.93333
"Lee, Cork Harbour and Youghal Bay, GLASHABOY (LOUGH MAHON)_010",178,River,GLASHABOY,51.90167,-8.3975
"Boyne, BOYNE_090",177,River,BOYNE,53.72236,-6.24629
"Galway Bay South East, CLARINBRIDGE_020",177,River,CLARINBRIDGE,53.22639,-8.88306
"Galway Bay South East, CLARINBRIDGE_030",177,River,CLARINBRIDGE,53.22639,-8.88306
"Laune-Maine-Dingle Bay, MAINE_020",175,River,MAINE,52.15,-9.75
"Laune-Maine-Dingle Bay, Acoose",174,Lake,Acoose,52.00722,-9.81167
