Area,n_measurements,waterbody_type,query,latitude,longitude
"Cork Harbour, Moy Killala, YELLOW (FOXFORD)_020",156,River,YELLOW,53.38556,-7.08361
"Boyne, BOYNE_050",156,River,BOYNE,53.72236,-6.24629
"Sligo Bay _ Drowse, Glencar",155,River,Glencar,54.34111,-8.38667
"Ballyteigue-Bannow, Southwestern Irish Sea (HAs 11;12)",155,River,Southwestern Irish Sea,,
"Upper Shannon (A), FEORISH (BALLYFARNON)_020",155,River,FEORISH,54.03333,-8.08333
"Foyle, ELATAGH_020",155,River,ELATAGH,,
"Cork Harbour, Moy Killala, CORROY_010",155,River,CORROY,54.06556,-9.18167
"Cork Harbour, Moy Killala, CASTLEBAR_040",155,River,CASTLEBAR,53.83893,-9.3466
"Upper Shannon (D), SUCK_090",155,River,SUCK,53.27222,-8.05306
"Owenavorragh, Southwestern Irish Sea (HAs 11;12)",155,Coastal,Southwestern Irish Sea,,
"Lough Neagh _ Lower Bann, MOUNTAIN WATER_040",155,River,MOUNTAIN WATER,54.33225,-6.86812
"Slaney _ Wexford Harbour, Southwestern Irish Sea (HAs 11;12)",155,Coastal,Southwestern Irish Sea,,
"Laune-Maine-Dingle Bay, LAUNE_050",154,River,LAUNE,52.13333,-9.78333
"Erne, MAGHERARNEY_020",154,River,MAGHERARNEY,,
"Suir, Mitchelstown",153,River,Mitchelstown,52.26583,-8.26806
"Boyne, ATHBOY_030",153,River,ATHBOY,53.59191,-6.88222
"Moy _ Killala Bay, GWEESTION_020",153,River,GWEESTION,53.92921,-9.07359
"Lower Shannon (B), CAMCOR_020",153,River,CAMCOR,53.09472,-7.91889
"Cork Harbour, Moy Killala, GWEESTION_020",153,River,GWEESTION,53.92921,-9.07359
"Lee, Cork Harbour and Youghal Bay, Cork Harbour",153,Coastal,Cork Harbour,51.8403,-8.26609
"Suir, TAR_030",152,River,TAR,52.28333,-7.83333
"Shannon Estuary South, CLONSHIRE_010",152,River,CLONSHIRE,52.56611,-8.84417
"Shannon Estuary South, BARNAKYLE_020",151,River,BARNAKYLE,52.62333,-8.76639
"Shannon Estuary South, CLONSHIRE_030",151,River,CLONSHIRE,52.56611,-8.84417
"Nore, NORE_070",151,River,NORE,52.42417,-6.95806
"Shannon Estuary South, OWVANE (LIMERICK)_020",151,River,OWVANE,51.73139,-9.44083
"Cork Harbour, Moy Killala, CAMCOR_020",151,River,CAMCOR,53.09472,-7.91889
"Lower Shannon (C), BALLYFINBOY_030",151,River,BALLYFINBOY,53.0325,-8.25111
"Boyne, KNIGHTSBROOK_010",151,River,KNIGHTSBROOK,53.53229,-6.77584
"Shannon Estuary South, MAIGUE_060",150,River,MAIGUE,52.65667,-8.79778
"Shannon Estuary North, FERGUS_050",150,River,FERGUS,52.95528,-9.18167
"Shannon Estuary South, SHANAGOLDEN STREAM_010",149,River,SHANAGOLDEN STREAM,,
"Liffey and Dublin Bay, KING'S (LIFFEY)_010",149,River,KING'S,53.31528,-7.94722
"Shannon Estuary South, MAIGUE_010",149,River,MAIGUE,52.65667,-8.79778
"Laune-Maine-Dingle Bay, BROWN FLESK_010",149,River,BROWN FLESK,52.19667,-9.56417
"Nore, NORE_150",149,River,NORE,52.42417,-6.95806
"Shannon Estuary South, DEEL (NEWCASTLEWEST)_040",149,River,DEEL,52.61806,-8.98694
"Lower Shannon (D), MULKEAR (LIMERICK)_050",148,River,MULKEAR,52.67833,-8.54389
"Ovoca-Vartry, VARTRY_030",148,River,VARTRY,53.00278,-6.05528
"Newry, Fane, Glyde and Dee, DEE_030",148,River,DEE,53.8825,-6.34972
"Tralee Bay-Feale, CAHER (LIMERICK)_010",148,River,CAHER,52.31667,-9.23333
"Nore, NORE_120",147,River,NORE,52.42417,-6.95806
"Corrib, CORRIB_010",147,River,CORRIB,53.43333,-9.23333
"Nore, NORE_170",147,River,NORE,52.42417,-6.95806
"Nore, NORE_210",146,River,NORE,52.42417,-6.95806
"Shannon Estuary South, Bleach",146,Lake,Bleach,52.63972,-8.82111
"Laune-Maine-Dingle Bay, BROWN FLESK_030",146,River,BROWN FLESK,52.19667,-9.56417
"Lower Shannon (A), SILVER (TULLAMORE)_040",145,River,SILVER,53.24333,-7.79139
"Lower Shannon (C), GRANEY (SHANNON)_050",145,River,GRANEY,52.9825,-8.66056
"Shannon Estuary South, DEEL (NEWCASTLEWEST)_050",145,River,DEEL,52.61806,-8.98694
"Foyle, FINN (DONEGAL)_060",145,River,FINN,54.86111,-8.13861
"Lower Shannon (C), BALLYFINBOY_050",145,River,BALLYFINBOY,53.0325,-8.25111
"Liffey and Dublin Bay, Glenasmole  Upper",145,Lake,Glenasmole Upper,,
"Lower Shannon (B), RAPEMILLS_010",144,River,RAPEMILLS,53.19,-8.00167
"Cork Harbour, Moy Killala, GRANEY (SHANNON)_050",144,River,GRANEY,52.9825,-8.66056
"Lough Swilly, LEANNAN_050",144,River,LEANNAN,55.05,-7.71667
"Tralee Bay-Feale, FEALE_040",144,River,FEALE,52.444,-9.62211
"Suir, AHERLOW_050",144,River,AHERLOW,52.41889,-7.995
"Suir, AHERLOW_030",144,River,AHERLOW,52.41889,-7.995
"Lower Shannon (A), POLLAGH STREAM (BROSNA)_010",144,River,POLLAGH STREAM,,
"Lower Shannon (B), CAMCOR_050",144,River,CAMCOR,53.09472,-7.91889
"Ovoca-Vartry, DARGLE_010",144,River,DARGLE,53.27361,-6.26778
"Lower Shannon (D), GRANGE (TIPPERARY)_010",144,River,GRANGE,52.77444,-8.01194
"Laune-Maine-Dingle Bay, LITTLE MAINE_020",144,River,LITTLE MAINE,52.22111,-9.53806
"Nore, NORE_220",144,River,NORE,52.42417,-6.95806
"Ovoca-Vartry, VARTRY_010",144,River,VARTRY,53.00278,-6.05528
"Upper Shannon (D), SUCK_050",144,River,SUCK,53.27222,-8.05306
"Lower Shannon (B), ROCK (BIRR)_020",143,River,ROCK,51.79444,-8.26333
"Lough Neagh _ Lower Bann, SHAMBLES_010",143,River,SHAMBLES,,
"Lower Shannon (A), BOORA_010",143,River,BOORA,53.20972,-7.75861
"Upper Shannon (C), RHINE_010",143,River,RHINE,53.70992,-6.90957
"Suir, AHERLOW_070",143,River,AHERLOW,52.41889,-7.995
"Lower Shannon (B), SHANNON (LOWER)_010",143,River,SHANNON,52.58194,-9.68167
"Upper Shannon (F), BLACK (WESTMEATH)_010",143,River,BLACK,54.08222,-7.14611
"Slaney _ Wexford Harbour, SLANEY_020",142,River,SLANEY,52.65662,-6.65117
"Nore, NORE_090",142,River,NORE,52.42417,-6.95806
"Cork Harbour, Moy Killala, CAMCOR_050",142,River,CAMCOR,53.09472,-7.91889
"Shannon Estuary North, MOYREE_030",142,River,MOYREE,52.94167,-8.95333
"Lower Shannon (A), SILVER (KILCORMAC)_010",142,River,SILVER,53.24333,-7.79139
"Nore, GLORY_010",142,River,GLORY,52.53861,-7.28861
"Suir, SUIR_030",142,River,SUIR,52.27333,-6.99556
"Nore, NORE_100",142,River,NORE,52.42417,-6.95806
"Upper Shannon (A), SHANNON (Upper)_050",142,River,SHANNON,52.58194,-9.68167
"Lower Shannon (A), GAGEBOROUGH_030",142,River,GAGEBOROUGH,53.3425,-7.64417
"Cork Harbour, Moy Killala, DARGLE_010",142,River,DARGLE,53.27361,-6.26778
"Upper Shannon (F), LENAMORE STREAM_010",142,River,LENAMORE STREAM,,
"Boyne, STONYFORD_020",142,River,STONYFORD,52.53639,-7.22
"Cork Harbour, Moy Killala, FINN (DONEGAL)_060",141,River,FINN,54.86111,-8.13861
"Nore, NORE_050",141,River,NORE,52.42417,-6.95806
"Sligo Bay _ Drowse, Easky",141,Lake,Easky,54.15667,-8.84944
"Nore, New Ross Port",141,Transitional,New Ross Port,,
"Corrib, Maumwee",141,Lake,Maumwee,,
"Slaney _ Wexford Harbour, SLANEY_160",141,River,SLANEY,52.65662,-6.65117
"Barrow, New Ross Port",141,River,New Ross Port,,
"Corrib, CLARE (GALWAY)_100",141,River,CLARE,52.91962,-8.97256
"Erne, Melvin",140,Lake,Melvin,54.43333,-8.16667
"Nore, DININ (NORTH)_040",140,River,DININ,52.59611,-6.91889
"Liffey and Dublin Bay, Glenasmole  Lower",140,Lake,Glenasmole Lower,,
"Upper Shannon (D), CASTLEGAR_020",140,River,CASTLEGAR,53.2975,-9.01917
"Upper Shannon (F), INNY_050",140,River,INNY,51.85722,-10.18167
"Tralee Bay-Feale, FEALE_070",140,River,FEALE,52.444,-9.62211
"Boyne, Lene",139,Lake,Lene,53.66028,-7.22833
"Moy _ Killala Bay, Talt",139,Lake,Talt,54.08389,-8.92139
"Upper Shannon (F), INNY_060",139,River,INNY,51.85722,-10.18167
"Lower Shannon (A), BROSNA_090",139,River,BROSNA,53.16556,-8.075
"Upper Shannon (C), CAMLIN_060",139,River,CAMLIN,53.75,-7.91667
"Shannon Estuary North, OWENOGARNEY_050",139,River,OWENOGARNEY,52.7,-8.76667
"Suir, BORRISOLEIGH STREAM_010",139,River,BORRISOLEIGH STREAM,,
"foyal, Shindilla",138,Lake,Shindilla,53.45,-9.56667
"Galway Bay North, Shindilla",138,Lake,Shindilla,53.45,-9.56667
"Lee, Cork Harbour and Youghal Bay, LEE (CORK)_030",138,River,LEE,54.53583,-8.05944
"Suir, CLASHAWLEY_030",137,River,CLASHAWLEY,52.35,-7.46667
"Gweebarra-Sheephaven, Veagh",137,Lake,Veagh,55.03833,-7.97167
"Foyle, FINN (DONEGAL)_080",137,River,FINN,54.86111,-8.13861
"Nore, NORE_020",136,River,NORE,52.42417,-6.95806
"Mal Bay, GLENDINE (CLARE)_010",136,River,GLENDINE,51.99389,-7.88778
"Galway Bay North, Ardderry",136,Lake,Ardderry,53.45,-9.51667
"Boyne, Bane Noggin Hill",136,Lake,Bane Noggin Hill,,
"foyal, Ardderry",136,Lake,Ardderry,53.45,-9.51667
"Slaney _ Wexford Harbour, SOW_010",136,River,SOW,52.37778,-6.45139
"Shannon Estuary South, LOOBAGH_010",135,River,LOOBAGH,52.39944,-8.67278
"Erriff-Clew Bay, Kylemore",135,Lake,Kylemore,53.56056,-9.8525
"Nore, KING'S (KILKENNY)_030",135,River,KING'S,53.31528,-7.94722
"Erriff-Clew Bay, Doo MO",135,Lake,Doo MO,,
"Corrib, Mask",135,Lake,Mask,53.61667,-9.35
"Gweebarra-Sheephaven, Salt",134,Lake,Salt,55.08278,-7.80611
"Cork Harbour, Moy Killala, FINN (DONEGAL)_080",134,River,FINN,54.86111,-8.13861
"Cork Harbour, Moy Killala, LEE (CORK)_030",134,River,LEE,54.53583,-8.05944
"Foyle, Mourne DL",134,Lake,Mourne DL,54.0822,-6.65282
"Foyle, DEELE (DONEGAL)_030",134,River,DEELE,54.9,-7.88333
"Sligo Bay _ Drowse, OWENMORE (MANORHAMILTON)_020",134,River,OWENMORE,54.12034,-9.83337
"Cork Harbour, Moy Killala, Talt",134,Lake,Talt,54.08389,-8.92139
"Nore, NUENNA_020",134,River,NUENNA,52.73056,-7.365
"Upper Shannon (E), JIGGY (HIND)_010",134,River,JIGGY,,
"Slaney _ Wexford Harbour, SLANEY_110",133,River,SLANEY,52.65662,-6.65117
"Nore, ERKINA_020",133,River,ERKINA,52.84667,-7.37583
"Upper Shannon (E), HIND_030",133,River,HIND,,
"Newry, Fane, Glyde and Dee, KILMAINHAM (DEE)_020",132,River,KILMAINHAM,53.85,-6.80917
"Ovoca-Vartry, Tay",132,Lake,Tay,53.10472,-6.26861
"Upper Shannon (C), MOUNTAIN (ROSCOMMON)_010",132,River,MOUNTAIN,52.58806,-6.9225
"Erriff-Clew Bay, Glencullin",132,Lake,Glencullin,54.19167,-9.77111
"Lower Shannon (B), GLENFELLY STREAM_010",132,River,GLENFELLY STREAM,,
"Shannon Estuary South, CHARLEVILLE STREAM_020",131,River,CHARLEVILLE STREAM,,
"Slaney _ Wexford Harbour, Ballaghmore Distributary_010",131,River,Ballaghmore Distributary,,
"Lough Swilly, Fern",130,Lake,Fern,55.05944,-7.71861
"Nore, DININ (NORTH)_030",129,River,DININ,52.59611,-6.91889
"Moy _ Killala Bay, Clare-Corrib",129,River,Clare-Corrib,,
"Mal Bay, Lickeen",129,Lake,Lickeen,52.96667,-9.23
"Gweebarra-Sheephaven, Barra",129,Lake,Barra,54.95583,-8.10472
"Owenavorragh, CLONOUGH_010",129,River,CLONOUGH,52.73434,-6.20359
"Lower Shannon (B), BLACKWATER (SHANNONBRIDGE)_020",129,River,BLACKWATER,51.85,-9.75
"Nanny-Delvin, NANNY (MEATH)_010",129,River,NANNY,53.66667,-6.23333
"Lower Shannon (B), BLACKWATER (SHANNONBRIDGE)_010",128,River,BLACKWATER,51.85,-9.75
"Shannon Estuary South, LOOBAGH_030",128,River,LOOBAGH,52.39944,-8.67278
"Upper Shannon (F), YELLOW (CASTLEPOLLARD)_010",128,River,YELLOW,53.38556,-7.08361
"Owenavorragh, BANOGE_020",128,River,BANOGE,52.64417,-6.28417
"Slaney _ Wexford Harbour, DERRY_020",128,River,DERRY,53.76861,-8.9387
"Nore, ERKINA_030",128,River,ERKINA,52.84667,-7.37583
"Cork Harbour, Moy Killala, GLENFELLY STREAM_010",127,River,GLENFELLY STREAM,,
"Suir, Templemore",127,River,Templemore,52.79472,-7.83389
"Nore, Templemore",127,River,Templemore,52.79472,-7.83389
"Lower Shannon (D), Templemore",127,River,Templemore,52.79472,-7.83389
"Lower Shannon (C), Templemore",127,River,Templemore,52.79472,-7.83389
"Slaney _ Wexford Harbour, BORO_040",127,River,BORO,52.46778,-6.56111
"Lower Shannon (B), Templemore",127,River,Templemore,52.79472,-7.83389
"Nanny-Delvin, BROADMEADOW_020",126,River,BROADMEADOW,,
"Liffey and Dublin Bay, LIFFEY_150",126,River,LIFFEY,53.34556,-6.21694
"Erne, FINN (MONAGHAN)_020",126,River,FINN,54.86111,-8.13861
"Gweebarra-Sheephaven, Glen DL",126,Lake,Glen DL,,
"Gweebarra-Sheephaven, Keel Kilmacrenan",126,Lake,Keel Kilmacrenan,,
"Nanny-Delvin, HURLEY_010",125,River,HURLEY,,
"Gweebarra-Sheephaven, Anure",125,Lake,Anure,54.99361,-8.28333
"Erne, LEGGA STREAM_020",125,River,LEGGA STREAM,,
"Gweebarra-Sheephaven, Dunglow",124,Lake,Dunglow,54.95611,-8.34111
"Lower Shannon (A), BROSNA_050",124,River,BROSNA,53.16556,-8.075
"Cork Harbour, Moy Killala, GLENCULLEN_010",124,River,GLENCULLEN,53.19111,-6.13667
"Tralee Bay-Feale, FEALE_010",124,River,FEALE,52.444,-9.62211
"Boyne, BLACKWATER (KELLS)_120",123,River,BLACKWATER,51.85,-9.75
"Cork Harbour, Moy Killala, Clare-Corrib",123,River,Clare-Corrib,,
"Galway Bay South East, Clare-Corrib",123,River,Clare-Corrib,,
"Lee, Cork Harbour and Youghal Bay, Lough Mahon",123,Transitional,Lough Mahon,51.88167,-8.35389
"Moy _ Killala Bay, CASTLEBAR_030",123,River,CASTLEBAR,53.83893,-9.3466
"Slaney _ Wexford Harbour, DERRY_030",123,River,DERRY,53.76861,-8.9387
"Slaney _ Wexford Harbour, MINE_020",123,River,MINE,52.82861,-6.23028
"Corrib, Clare-Corrib",123,River,Clare-Corrib,,
"Lee, Cork Harbour and Youghal Bay, WOMANAGH_010",123,River,WOMANAGH,51.92444,-7.97056
"Suir, SUIR_100",123,River,SUIR,52.27333,-6.99556
"Upper Shannon (D), Clare-Corrib",123,River,Clare-Corrib,,
"Upper Shannon (E), Suck South",122,River,Suck South,,
"Slaney _ Wexford Harbour, DOUGLAS (KILTEGAN)_020",122,River,DOUGLAS,52.88333,-6.95
"Lough Neagh _ Lower Bann, CLONTIBRET STREAM_030",122,River,CLONTIBRET STREAM,,
"Lower Shannon (D), Limerick Dock",122,Transitional,Limerick Dock,,
"Boyne, BLACKWATER (LONGWOOD)_050",122,River,BLACKWATER,51.85,-9.75
"Upper Shannon (C), Suck South",122,River,Suck South,,
"Corrib, Suck South",122,River,Suck South,,
"Donagh-Moville, DONAGH_030",122,River,DONAGH,55.27806,-7.26667
"Nore, MOUNTRATH_030",122,River,MOUNTRATH,52.9625,-7.37028
"Lee, Cork Harbour and Youghal Bay, Lee (Cork) Estuary Lower",122,Transitional,Lee Estuary Lower,,
"Upper Shannon (B), Suck South",122,River,Suck South,,
"Shannon Estuary North, RINE_030",122,River,RINE,52.79861,-8.91028
"Newry, Fane, Glyde and Dee, DEE_060",122,River,DEE,53.8825,-6.34972
"Newry, Fane, Glyde and Dee, FANE_010",122,River,FANE,53.95222,-6.46583
"Galway Bay South East, Suck South",122,River,Suck South,,
"Mal Bay, Doo CE",122,Lake,Doo CE,,
"Upper Shannon (D), Suck South",122,River,Suck South,,
"Upper Shannon (C), FALLAN_020",121,River,FALLAN,53.73333,-7.86667
"Erne, White Rockcorry",121,Lake,White Rockcorry,,
"Upper Shannon (A), Meelagh",121,Lake,Meelagh,54.05833,-8.16917
"Moy _ Killala Bay, YELLOW (KNOCK)_010",121,River,YELLOW,53.38556,-7.08361
"Corrib, ROBE_020",121,River,ROBE,53.63333,-9.28333
"Suir, SUIR_090",121,River,SUIR,52.27333,-6.99556
"Slaney _ Wexford Harbour, BROWN'S BECK BROOK_010",121,River,BROWN'S BECK BROOK,,
"Lough Swilly, MAGGY'S BURN_010",120,River,MAGGY'S BURN,,
"Upper Shannon (B), Cavetown",120,Lake,Cavetown,53.93333,-8.25
"Cork Harbour, Moy Killala, CASTLEBAR_030",120,River,CASTLEBAR,53.83893,-9.3466
"Lee, Cork Harbour and Youghal Bay, LEE (CORK)_040",120,River,LEE,54.53583,-8.05944
"Slaney _ Wexford Harbour, DERREEN_050",120,River,DERREEN,53.82816,-9.17346
"Galway Bay South East, Rea",120,Lake,Rea,53.18806,-8.58194
"Tralee Bay-Feale, BREANAGH_010",120,River,BREANAGH,52.28333,-9.21667
"Cork Harbour, Moy Killala, YELLOW (KNOCK)_010",119,River,YELLOW,53.38556,-7.08361
"Corrib, Carra",119,Lake,Carra,53.7,-9.25
"Boyne, DEEL (RAHARNEY)_050",119,River,DEEL,52.61806,-8.98694
"Suir, DRISH_050",119,River,DRISH,52.66639,-7.80306
"Tralee Bay-Feale, BRICK_040",119,River,BRICK,53.17333,-8.54333
"Cork Harbour, Moy Killala, AVONMORE_040",119,River,AVONMORE,52.88333,-6.23333
"Boyne, MOYNALTY_060",119,River,MOYNALTY,53.78861,-6.88278
"Upper Shannon (C), Annaghmore Lough",119,Lake,Annaghmore Lough,53.8,-8.15
"Upper Shannon (F), INNY_030",119,River,INNY,51.85722,-10.18167
"Nore, NORE_060",118,River,NORE,52.42417,-6.95806
"Gweebarra-Sheephaven, GWEEBARRA_010",118,River,GWEEBARRA,54.84111,-8.33861
"Suir, Durrow",118,River,Durrow,52.84417,-7.3925
"Erne, Macnean Upper",118,Lake,Macnean Upper,,
"Nore, Durrow",118,River,Durrow,52.84417,-7.3925
"Cork Harbour, Moy Killala, LEE (CORK)_040",118,River,LEE,54.53583,-8.05944
"Newry, Fane, Glyde and Dee, MOYNAGH_040",118,River,MOYNAGH,,
"Shannon Estuary North, Inchicronan",118,Lake,Inchicronan,52.92028,-8.90417
"Barrow, Durrow",118,River,Durrow,52.84417,-7.3925
"Owenavorragh, OWENAVORRAGH_040",117,River,OWENAVORRAGH,52.64222,-6.22111
"Shannon Estuary North, Castle CE",117,Lake,Castle CE,,
"Galway Bay South East, CANNAHOWNA_010",117,River,CANNAHOWNA,,
"Nore, BALLYROAN_010",117,River,BALLYROAN,52.94556,-7.30417
"Suir, SUIR_150",117,River,SUIR,52.27333,-6.99556
"Upper Shannon (B), LUNG_040",117,River,LUNG,53.88903,-8.5505
"Slaney _ Wexford Harbour, BANN_050",116,River,BANN,52.545,-6.54306
"Sligo Bay _ Drowse, Templehouse",116,Lake,Templehouse,54.10333,-8.58917
"Suir, ARA_020",116,River,ARA,52.40556,-7.9475
"Corrib, Ross GY",116,Lake,Ross GY,,
"Erne, Corglass",116,Lake,Corglass,54.0275,-7.4675
"Nore, ERKINA_050",116,River,ERKINA,52.84667,-7.37583
"Moy _ Killala Bay, Cullin",116,Lake,Cullin,53.97014,-9.17805
"Suir, MULLINAHONE STREAM_010",115,River,MULLINAHONE STREAM,,
"Liffey and Dublin Bay, RYE WATER_010",115,River,RYE WATER,53.365,-6.49111
"Erne, YELLOW (BALLINAMORE)_030",115,River,YELLOW,53.38556,-7.08361
"Suir, ARA_030",115,River,ARA,52.40556,-7.9475
"Boyne, Skeagh Upper",115,Lake,Skeagh Upper,53.95,-7.0
"Erne, Derrybrick",115,Lake,Derrybrick,54.05167,-7.47083
"Newry, Fane, Glyde and Dee, GLYDE_010",115,River,GLYDE,53.88306,-6.35
"Corrib, Lettercraffroe",115,Lake,Lettercraffroe,53.38167,-9.41417
"Nore, LITTLE ARRIGLE_010",114,River,LITTLE ARRIGLE,52.51556,-7.15472
"Barrow, Bagenalstown Upper",114,River,Bagenalstown Upper,,
"Lower Shannon (A), Bagenalstown Upper",114,River,Bagenalstown Upper,,
"Sligo Bay _ Drowse, Arrow",114,Lake,Arrow,54.06389,-8.325
"Nore, Bagenalstown Upper",114,River,Bagenalstown Upper,,
"Suir, SUIR_160",114,River,SUIR,52.27333,-6.99556
"Boyne, Bagenalstown Upper",114,River,Bagenalstown Upper,,
"Suir, KILLENAULE STREAM_010",114,River,KILLENAULE STREAM,,
"Ovoca-Vartry, AVONMORE_070",114,River,AVONMORE,52.88333,-6.23333
"Shannon Estuary North, FERGUS_030",113,River,FERGUS,52.95528,-9.18167
"Lower Shannon (A), CLODIAGH (TULLAMORE)_010",113,River,CLODIAGH,52.29,-7.28583
"Cork Harbour, Moy Killala, KILMACANOGE_010",113,River,KILMACANOGE,53.16722,-6.13361
"Mal Bay, AILLE (CLARE)_010",113,River,AILLE,53.76709,-9.40783
"Corrib, DALGAN_010",113,River,DALGAN,53.61667,-8.86667
"Sligo Bay _ Drowse, Glenade",113,Lake,Glenade,54.36722,-8.27167
"Upper Shannon (B), BOYLE_020",113,River,BOYLE,53.95889,-8.11167
"Lower Shannon (D), CAPPAWHITE STREAM_010",113,River,CAPPAWHITE STREAM,,
"Lower Shannon (D), NEWPORT (TIPPERARY)_040",112,River,NEWPORT,53.88504,-9.55674
"Liffey and Dublin Bay, Golden Falls",112,Lake,Golden Falls,,
"Colligan-Mahon, MAHON_020",112,River,MAHON,52.13806,-7.36278
"Erriff-Clew Bay, Nambrackmore Cushatrower",112,Lake,Nambrackmore Cushatrower,,
"Erriff-Clew Bay, Aughrusbeg",112,Lake,Aughrusbeg,53.55472,-10.175
"Upper Shannon (D), AHASCRAGH_030",112,River,AHASCRAGH,53.34639,-8.24417
"Nore, OWVEG (NORE)_050",112,River,OWVEG,52.35,-9.35
"Erne, Egish",112,Lake,Egish,54.06667,-6.8
"Cork Harbour, Moy Killala, DARGLE_040",112,River,DARGLE,53.27361,-6.26778
"Upper Shannon (B), LUNG_030",111,River,LUNG,53.88903,-8.5505
"Cork Harbour, Moy Killala, Cullin",111,Lake,Cullin,53.97014,-9.17805
"Shannon Estuary North, Atedaun",111,Lake,Atedaun,52.94472,-9.04556
"Gweebarra-Sheephaven, Kindrum",111,Lake,Kindrum,55.23444,-7.70694
"Shannon Estuary South, Mitchelstown",111,River,Mitchelstown,52.26583,-8.26806
"Newry, Fane, Glyde and Dee, COUNTY WATER_010",111,River,COUNTY WATER,52.2725,-7.13667
"Gweebarra-Sheephaven, Kiltooris",110,Lake,Kiltooris,54.82,-8.50083
"Slaney _ Wexford Harbour, DERRY_060",110,River,DERRY,53.76861,-8.9387
"Dunmanus-Bantry-Kenmare, Glenbeg",110,Lake,Glenbeg,51.72083,-9.87278
"Tralee Bay-Feale, TYSHE_020",110,River,TYSHE,,
"Ovoca-Vartry, Southwestern Irish Sea (HAs 11;12)",110,Coastal,Southwestern Irish Sea,,
"Upper Shannon (D), ISLAND_030",110,River,ISLAND,52.19111,-6.38806
"Erne, MAGHERY_020",110,River,MAGHERY,54.91667,-8.45
"Corrib, SINKING_020",109,River,SINKING,,
"Sligo Bay _ Drowse, Kilsellagh",109,Lake,Kilsellagh,,
"Lee, Cork Harbour and Youghal Bay, Allua",109,Lake,Allua,51.85111,-9.17278
"Gweebarra-Sheephaven, an tSeisigh",108,Lake,an tSeisigh,,
"Lower Shannon (C), BALLINLOUGH STREAM_020",108,River,BALLINLOUGH STREAM,,
"Bandonllen, Abisdealy",108,Lake,Abisdealy,,
"Shannon Estuary North, Muckanagh CE",108,Lake,Muckanagh CE,,
"Suir, BREAGAGH (TIPPERARY)_020",108,River,BREAGAGH,52.68611,-7.76472
"Galway Bay South East, Bunny",107,Lake,Bunny,53.01806,-8.92944
"Gweebarra-Sheephaven, Nasnanida",107,Lake,Nasnanida,,
"Erne, DROMORE_060",107,River,DROMORE,52.91962,-8.97256
"Lower Shannon (C), KILCROW_050",107,River,KILCROW,53.08611,-8.30583
"Lower Shannon (C), KILCROW_040",107,River,KILCROW,53.08611,-8.30583
"Lower Shannon (C), KILCROW_060",107,River,KILCROW,53.08611,-8.30583
"Foyle, Derg DL",107,Lake,Derg DL,,
"Shannon Estuary North, Cullaun",107,Lake,Cullaun,52.96389,-9.0225
"Lower Shannon (C), COOS_010",106,River,COOS,53.00083,-8.3525
"Cork Harbour, Moy Killala, Allua",106,Lake,Allua,51.85111,-9.17278
"Shannon Estuary North, Dromore",106,Lake,Dromore,52.91962,-8.97256
"Lower Shannon (C), Alewnaghta",106,Lake,Alewnaghta,52.96889,-8.35833
"Lee, Cork Harbour and Youghal Bay, OWENBOY (CORK)_030",106,River,OWENBOY,55.15,-7.4
"Erne, YELLOW (BALLINAMORE)_020",106,River,YELLOW,53.38556,-7.08361
"Lower Shannon (D), KILMASTULLA_030",106,River,KILMASTULLA,52.7775,-8.44833
"Corrib, CLARE (GALWAY)_090",105,River,CLARE,52.91962,-8.97256
"Corrib, CLOONDAVER STREAM (NORTH)_010",105,River,CLOONDAVER STREAM,,
"Dunmanus-Bantry-Kenmare, Currane",105,Lake,Currane,51.8375,-10.1325
"Upper Shannon (D), SUCK_150",105,River,SUCK,53.27222,-8.05306
"Upper Shannon (D), LAURENCETOWN STREAM_020",105,River,LAURENCETOWN STREAM,,
"Upper Shannon (C), OWENUR_020",105,River,OWENUR,53.81667,-8.1
"Lower Shannon (B), EYRECOURT STREAM_010",105,River,EYRECOURT STREAM,,
"Erne, CULLIES_050",104,River,CULLIES,53.96222,-7.60361
"Cork Harbour, Moy Killala, Derg DL",104,Lake,Derg DL,,
"Foyle, DEELE (DONEGAL)_050",103,River,DEELE,54.9,-7.88333
"Corrib, ROBE_060",103,River,ROBE,53.63333,-9.28333
"Moy _ Killala Bay, DEEL (CROSSMOLINA)_040",103,River,DEEL,52.61806,-8.98694
"Erne, Bawn MN",103,Lake,Bawn MN,,
"Lower Shannon (D), KILMASTULLA_020",103,River,KILMASTULLA,52.7775,-8.44833
"Boyne, BOYNE_170",102,River,BOYNE,53.72236,-6.24629
"Boyne, Annagh-White",102,Lake,Annagh-White,,
"Suir, SUIR_210",102,River,SUIR,52.27333,-6.99556
"Corrib, ROBE_030",102,River,ROBE,53.63333,-9.28333
"Galway Bay South East, KILCOLGAN_020",102,River,KILCOLGAN,53.21667,-8.91667
"Shannon Estuary North, LISKENNY_010",102,River,LISKENNY,52.84056,-8.75444
"Lower Shannon (C), BLEACH_010",102,River,BLEACH,52.63972,-8.82111
"Foyle, SWILLY BURN_010",102,River,SWILLY BURN,54.88806,-7.44917
"Galway Bay South East, KILCOLGAN_010",102,River,KILCOLGAN,53.21667,-8.91667
"Lower Shannon (C), DUNIRY_020",102,River,DUNIRY,53.12833,-8.41417
"Bandonllen, Ilen Estuary",101,Transitional,Ilen Estuary,,
